date,time,latitude,longitude,city,weather_condition,road_condition,severity,contributing_factor,traffic_condition,vehicle_type,age,gender
9/18/2014,5:16 AM,40.7463865,-8.7008962,Torreira,sunny,dry,high,speeding,heavy,SUV,61,Male
3/17/2014,9:03 PM,35.8523575,66.5223902,Sang-e Chārak,rainy,icy,low,distracted driving,light,motorcycle,52,Male
4/23/2003,9:58 PM,16.9022,121.76191,Minante Segundo,rainy,icy,low,distracted driving,light,SUV,73,Female
10/19/2001,12:11 AM,32.165,108.8822222,Daba,cloudy,wet,high,weather conditions,heavy,sedan,21,Male
3/22/2006,7:08 PM,16.2524136,120.4835109,Inabaan Sur,rainy,wet,high,speeding,light,SUV,94,Male
11/17/2011,1:08 PM,29.476705,121.869339,Xiangshan,rainy,dry,medium,weather conditions,light,sedan,18,Male
7/5/2007,6:16 PM,18.0559583,106.2992912,Kỳ Anh,rainy,dry,high,weather conditions,heavy,SUV,92,Male
7/10/2004,12:10 PM,35.9676772,126.7366293,Kunsan,cloudy,icy,low,speeding,light,sedan,70,Female
11/19/2020,10:47 PM,57.9258984,59.970317,Krasnogvardeyets,snowy,dry,high,weather conditions,heavy,truck,93,Female
9/2/2012,3:34 AM,52.2445931,104.2483085,Irkutsk,cloudy,wet,high,weather conditions,heavy,motorcycle,81,Male
4/14/2019,8:33 PM,38.7233591,-9.4052043,Bairro de Santo António,cloudy,icy,medium,distracted driving,heavy,motorcycle,24,Female
1/10/2005,9:04 PM,-23.8139412,-47.4098328,Piedade,snowy,wet,high,distracted driving,moderate,sedan,74,Agender
10/30/2009,4:19 AM,-6.9775856,110.5424021,Bulusari,rainy,icy,low,weather conditions,heavy,sedan,66,Female
1/7/2022,5:55 AM,-8.401854,114.118103,Tegalsari,sunny,icy,low,weather conditions,light,motorcycle,19,Male
11/12/2005,1:15 AM,13.29664,123.756628,Malilipot,rainy,snowy,low,weather conditions,moderate,truck,41,Female
10/9/2021,7:31 AM,-27.574998,-50.1626664,Palmeira,sunny,icy,low,weather conditions,heavy,sedan,67,Female
2/24/2002,7:09 AM,54.2866841,48.2335118,Ulyanovsk,cloudy,wet,high,weather conditions,heavy,sedan,48,Male
4/15/2011,4:44 PM,49.6106567,18.735973,Hrádek,snowy,icy,low,distracted driving,light,SUV,63,Female
4/14/2012,11:40 AM,32.31,-106.78,Las Cruces,snowy,snowy,low,distracted driving,light,motorcycle,70,Male
3/31/2018,6:15 PM,39.3046388,23.2207655,Neochóri,rainy,icy,medium,distracted driving,heavy,truck,56,Female
4/20/2010,7:11 AM,37.7621762,-25.5651478,Cabouco,snowy,snowy,low,distracted driving,moderate,sedan,83,Female
1/16/2004,2:12 AM,32.910459,119.85254,Xinghua,sunny,icy,medium,weather conditions,heavy,truck,67,Male
4/20/2005,11:14 AM,41.7811503,-8.6240851,Lameira,cloudy,icy,high,speeding,moderate,sedan,52,Male
8/30/2021,12:25 AM,-7.3463033,108.2807559,Margabakti,sunny,snowy,high,speeding,heavy,truck,79,Male
5/12/2009,9:35 PM,-6.9014042,106.8370122,Lembursawah,cloudy,dry,high,distracted driving,moderate,motorcycle,67,Female
9/16/2021,12:29 PM,-29.8801552,-54.8265622,Cacequi,rainy,snowy,low,distracted driving,light,SUV,35,Male
3/2/2013,3:14 PM,-15.6093293,-72.0896229,Colca,snowy,wet,medium,distracted driving,heavy,sedan,96,Agender
9/8/2021,5:39 AM,13.5167584,99.9541293,Damnoen Saduak,rainy,dry,high,speeding,heavy,sedan,36,Male
4/5/2008,5:56 PM,13.5699981,-14.5611573,Karantaba,snowy,icy,high,distracted driving,moderate,SUV,43,Female
5/18/2008,8:59 PM,33.7654607,-84.38709,Atlanta,cloudy,snowy,medium,distracted driving,light,motorcycle,46,Female
5/27/2021,8:58 AM,1.1706966,33.7098569,Pallisa,snowy,wet,high,weather conditions,moderate,truck,73,Female
12/17/2013,9:58 PM,55.6735436,12.5736491,København,snowy,dry,medium,weather conditions,moderate,sedan,26,Female
12/15/2021,11:14 PM,56.0181995,29.9291962,Nevel’,sunny,snowy,high,weather conditions,light,sedan,50,Female
7/27/2007,7:21 PM,-2.673867,139.7728757,Guay,snowy,icy,low,speeding,moderate,SUV,78,Male
5/4/2021,3:27 PM,39.761892,116.420331,Jianxin,cloudy,icy,medium,weather conditions,heavy,motorcycle,62,Male
3/3/2000,1:39 PM,58.3209912,15.1341949,Mjölby,sunny,wet,low,weather conditions,heavy,motorcycle,34,Male
11/19/2017,4:55 AM,50.5699572,17.1493818,Kamiennik,snowy,icy,high,distracted driving,heavy,sedan,25,Female
2/18/2013,6:09 PM,50.8853797,21.8569158,Annopol,sunny,icy,medium,distracted driving,moderate,SUV,36,Female
4/26/2011,1:44 PM,41.3015266,-8.5820391,Vilares,rainy,icy,low,weather conditions,light,sedan,89,Male
2/20/2006,12:26 AM,14.6425547,121.010151,Ilihan,rainy,wet,low,weather conditions,heavy,sedan,46,Male
3/12/2022,6:11 AM,37.2425649,111.8568586,Sanxi,snowy,wet,medium,distracted driving,light,sedan,35,Male
5/8/2011,12:33 PM,50.8075698,21.8528832,Zawichost,snowy,wet,low,speeding,light,sedan,27,Male
12/17/2006,7:59 AM,59.4907385,33.7584959,Boksitogorsk,sunny,wet,low,speeding,moderate,motorcycle,47,Female
8/18/2012,5:21 AM,43.5414515,-5.8855146,Aviles,cloudy,wet,low,distracted driving,light,SUV,41,Female
1/15/2013,10:09 AM,47.013342,89.832786,Turgun,rainy,icy,low,speeding,light,sedan,78,Male
10/30/2009,4:27 AM,22.9081486,-83.1702597,Bahía Honda,cloudy,dry,low,distracted driving,heavy,SUV,80,Male
2/13/2022,2:49 AM,47.0202503,-68.1435021,Stockholm,rainy,dry,medium,distracted driving,light,motorcycle,55,Genderqueer
3/7/2002,11:18 PM,41.8977003,12.5097274,Roma,cloudy,dry,high,weather conditions,light,SUV,38,Male
1/16/2020,12:44 PM,14.29496,44.68504,Zakhim,rainy,wet,medium,weather conditions,heavy,sedan,19,Female
4/8/2021,12:09 AM,-0.7351026,8.7591311,Port-Gentil,snowy,icy,low,weather conditions,heavy,truck,58,Male
5/31/2012,4:13 AM,37.429832,110.88907,Liulin,rainy,wet,low,weather conditions,light,motorcycle,72,Female
1/24/2021,11:11 AM,35.691878,106.04401,Zhongtai,cloudy,snowy,low,speeding,moderate,sedan,32,Female
4/4/2011,2:44 AM,52.6396679,-9.4904891,Lucan,cloudy,icy,low,weather conditions,light,sedan,94,Female
4/9/2002,9:09 PM,8.070619,22.3948737,Ouadda,snowy,wet,high,distracted driving,moderate,motorcycle,96,Male
8/28/2007,8:47 AM,44.165729,132.7602034,Rettikhovka,sunny,snowy,low,distracted driving,heavy,truck,90,Female
3/10/2021,5:35 AM,10.16575,166.01022,Wotho,cloudy,dry,high,speeding,moderate,SUV,27,Male
7/16/2001,4:43 PM,13.7178702,-87.6953979,El Tablón,cloudy,wet,low,distracted driving,moderate,sedan,74,Polygender
8/11/2018,6:25 AM,-12.266667,-74.95,Huaribamba,rainy,wet,low,speeding,heavy,sedan,44,Male
1/21/2021,1:57 AM,-3.3259044,-79.8056661,Pasaje,sunny,dry,low,distracted driving,moderate,SUV,54,Female
9/9/2002,8:19 AM,17.8759173,101.6271544,Chiang Khan,cloudy,wet,high,speeding,moderate,motorcycle,25,Female
3/19/2010,9:16 PM,30.27,-97.74,Austin,cloudy,icy,high,weather conditions,light,truck,19,Female
5/15/2005,2:27 PM,-4.0308713,-44.4654609,São Mateus do Maranhão,sunny,snowy,high,speeding,moderate,truck,64,Male
10/15/2017,2:59 PM,25.575165,111.824739,Zhoujia,rainy,wet,medium,weather conditions,light,SUV,64,Female
11/5/2011,5:16 PM,45.8892671,0.3046171,Bourg-lès-Valence,snowy,icy,medium,speeding,heavy,SUV,77,Male
8/6/2003,5:37 PM,27.775323,108.796556,Qinjiang,rainy,dry,high,distracted driving,heavy,truck,22,Female
